CustomerID,CustomerName,Age,Gender,City
1001,Customer 1001,79,Other,Los Angeles
1002,Customer 1002,42,Male,Houston
1003,Customer 1003,72,Female,Houston
1004,Customer 1004,19,Male,Chicago
1005,Customer 1005,27,Female,Houston
1006,Customer 1006,53,Other,Los Angeles
1007,Customer 1007,62,Female,New York
1008,Customer 1008,44,Male,New York
1009,Customer 1009,52,Male,Los Angeles
1010,Customer 1010,64,Female,Los Angeles
1011,Customer 1011,44,Female,New York
1012,Customer 1012,51,Male,Los Angeles
1013,Customer 1013,65,Other,Chicago
1014,Customer 1014,49,Female,Miami
1015,Customer 1015,76,Female,Houston
1016,Customer 1016,24,Male,New York
1017,Customer 1017,33,Male,Chicago
1018,Customer 1018,54,Female,New York
1019,Customer 1019,74,Other,Los Angeles
1020,Customer 1020,49,Female,Chicago
1021,Customer 1021,78,Male,New York
1022,Customer 1022,35,Female,New York
1023,Customer 1023,48,Male,Houston
1024,Customer 1024,70,Female,New York
1025,Customer 1025,58,Other,Houston
1026,Customer 1026,51,Male,New York
1027,Customer 1027,53,Female,Los Angeles
1028,Customer 1028,28,Male,New York
1029,Customer 1029,68,Other,Miami
1030,Customer 1030,39,Other,Miami
1031,Customer 1031,52,Female,Los Angeles
1032,Customer 1032,26,Other,Miami
1033,Customer 1033,25,Female,Chicago
1034,Customer 1034,68,Other,Houston
1035,Customer 1035,44,Other,Los Angeles
1036,Customer 1036,52,Female,Chicago
1037,Customer 1037,35,Female,Houston
1038,Customer 1038,19,Other,Los Angeles
1039,Customer 1039,68,Female,Chicago
1040,Customer 1040,22,Male,Los Angeles
1041,Customer 1041,34,Other,New York
1042,Customer 1042,47,Other,New York
1043,Customer 1043,26,Female,Houston
1044,Customer 1044,66,Other,Chicago
1045,Customer 1045,43,Female,Chicago
1046,Customer 1046,49,Male,Houston
1047,Customer 1047,37,Male,Chicago
1048,Customer 1048,29,Male,Chicago
1049,Customer 1049,76,Other,Miami
1050,Customer 1050,73,Other,Los Angeles
1051,Customer 1051,54,Female,Los Angeles
1052,Customer 1052,35,Other,New York
1053,Customer 1053,62,Other,Los Angeles
1054,Customer 1054,70,Other,Miami
1055,Customer 1055,30,Other,Miami
1056,Customer 1056,47,Male,Chicago
1057,Customer 1057,39,Other,Miami
1058,Customer 1058,59,Male,Chicago
1059,Customer 1059,39,Male,Los Angeles
1060,Customer 1060,61,Male,New York
1061,Customer 1061,67,Female,Chicago
1062,Customer 1062,65,Female,Los Angeles
1063,Customer 1063,73,Male,Houston
1064,Customer 1064,73,Other,Chicago
1065,Customer 1065,60,Female,Chicago
1066,Customer 1066,33,Male,Chicago
1067,Customer 1067,76,Male,Chicago
1068,Customer 1068,63,Other,Miami
1069,Customer 1069,41,Other,Houston
1070,Customer 1070,64,Other,Los Angeles
