PharmacyID,NAME,CITY,STATE,ZIP,Longitude,Latitude
1,BENNETT'S CREEK PHARMACY,SUFFOLK,VA,23435,-76.484255,36.862618
2,CVS - 2110,HUNTINGDON VALLEY,PA,19006,-75.068897,40.119824
3,RITE AID - 10362,COLCHESTER,CT,6415,-72.333488,41.575866
4,PALMA PHARMACY,BROOKLYN,NY,11215,-73.976742,40.672304
5,SANFORD MEDICAL CENTER PHARMACY,SIOUX FALLS,SD,57105,-96.742106,43.535515
6,WALGREENS - 7021,,CO,80013,-104.77132,39.676549
7,GALENA PHARMACY INC,GALENA,MD,21635,-75.880992,39.340848
8,RITE AID - 11672,WILLISTON,SC,29853,-81.42104,33.40059
9,WALGREENS - 3706,SAN FRANCISCO,CA,94118,-122.457633,37.786152
10,CENTRAL DRUG,SAN JUAN,PR,921,-66.087289,18.403133
11,ALBERTSONS - 4198,FORT WORTH,TX,76244,-97.287475,32.929476
12,ANSON PHARMACY INCORPORATED,WADESBORO,NC,28170,-80.08261,34.95892
13,WALGREENS - 7882,BARABOO,WI,53913,-89.769551,43.475245
14,GENERAL COMMUNITY PHARMACY,KINGSTON,PA,18704,-75.889219,41.26971
15,PUBLIX - 00759,WESTON,FL,33326,-80.38091,26.098268
16,DORAL FAMILY PHARMACY,DORAL,FL,33178,-80.368716,25.807872
17,WAL-MART SUPERCENTER - 151,MCALESTER,OK,74501,-95.740515,34.919189
18,FARMACIA VELEZ,ARECIBO,PR,612,-66.620498,18.447762
19,WALGREENS - 7747,GILBERT,AZ,85297,-111.719558,33.277128
20,ALEGENT HEALTH BERGAN MERCY PHARMACY,OMAHA,NE,68124,-96.030748,41.2394
21,WALGREENS - 74,BOYNTON BEACH,FL,33435,,26.513078
22,CVS - 9176,TULARE,CA,93274,-119.326907,36.225416
23,CENTER DRUG INCORPORATED,LIBBY,MT,59923,-115.560342,48.389408
24,THE MEDICINE SHOPPE PHARMACY,LAKE JACKSON,TX,77566,-95.457542,29.040892
25,FRANKLIN C FETTER FAMILY HEALTH CENTER,CHARLESTON,SC,29403,-79.938612,32.793851
26,PROMPTCARE HOME INFUSION,FARMINGDALE,NY,11735,-73.403242,40.753037
27,ALLEGAN COMMUNITY PHARMACY,ALLEGAN,MI,49010,-85.849515,42.528092
28,WESLEY MEDICAL CENTER,WICHITA,KS,67214,-97.297904,37.695461
29,DOMINICK'S,EVANSTON,IL,60202,-87.700162,42.038495
30,RX DISCOUNT PHARMACY 1,HAZARD,KY,41701,-83.223214,37.277039
31,WAL-MART SUPERCENTER - 345,PALESTINE,TX,75801,-200.0,31.73654
32,SAENZ MEDICAL PHARMACY,MCALLEN,TX,78501,-98.223247,26.192129
33,RITE AID - 3174,MENTOR,OH,44060,-81.361157,41.704478
34,FISHER-TITUS MEDICAL CENTER,NORWALK,OH,44857,-82.603555,41.225823
35,ECKERD CORPORATION,TAPPAHANNOCK,VA,22560,-76.869792,37.898509
36,MEDICAL CENTER PHARMACY,WYANDANCH,NY,11798,-73.361758,40.751132
37,CVS - 2200,MARSTONS MILLS,MA,2648,-70.424177,41.647524
38,CVS - 8389,SAN ANTONIO,TX,78240,-98.603656,29.518924
39,BILLS PHARMACY,MORRILTON,AR,72110,-92.743524,35.152833
40,CVS - 287,ROCHESTER HILLS,MI,48307,-83.1307,42.652057
41,RITE AID - 3061,CANTON,OH,44709,-81.391336,100.0
42,MAPLE PHARMACY,SMITHTOWN,NY,11787,-73.194935,40.8373
43,LANAI COMMUNITY HOSPITAL,LANAI CITY,HI,96763,-156.917179,20.825863
44,TARGET,VALLEY STREAM,NY,11581,-73.720691,40.664633
45,WALGREENS - 11871,NEW YORK,NY,10016,-73.976778,40.74708
46,ALBERTSONS-SAVON - 537,GRANTS PASS,OR,97527,-123.352752,42.419321
47,ADVANCE OUTCOME MANAGEMENT PHARMACY SERVICES,GARDEN GROVE,CA,92845,-118.034838,33.776384
48,PLAZA PHARMACY,IRVINE,KY,40336,-83.99258,37.699915
49,TARGET,COLUMBUS,GA,31904,-84.971572,32.535049
50,TARGET,ENFIELD,CT,6082,-72.582267,41.996254
51,RITE AID - 6032,SONOMA,CA,95476,-122.476734,38.299218
52,WALGREENS - 6489,SHAKOPEE,MN,55379,-93.506137,44.781683
53,WALGREENS - 5135,SELDEN,NY,11784,-73.034704,40.867546
54,RITE AID - 10482,SOMERS POINT,NJ,8244,-74.600115,39.326074
55,RX HEALTH PHARMACY,MIAMI,FL,33165,-80.345512,25.733406
56,DOMINICK'S,RIVER GROVE,IL,60171,-87.833185,41.936459
57,TARGET,FRESNO,CA,93726,-119.770978,36.780804
58,SMITH'S,OGDEN,UT,84404,-111.946688,41.24093
59,SUPER STOP AND SHOP - 0044,WALPOLE,MA,2081,-71.241599,42.156826
60,KROGER,KATY,TX,77450,-95.75374,29.735598
61,SPRING VIEW DRUGS HEALTH MART,MILLBROOK,AL,36054,-86.368387,32.499319
62,HARSEYS PHARMACY,CHERAW,SC,29520,-79.898287,34.688246
63,RITE AID - 200,LEBANON,PA,17042,-76.430409,40.338479
64,CVS - 7897,CLERMONT,FL,34714,-81.682777,28.37099
65,WALGREENS - 5094,HOUSTON,TX,77079,-95.608481,29.770564
66,OMNICARE,WILLIAMSPORT,PA,17701,-76.985412,41.245824
67,VISELS PHARMACY,NEW HAVEN,CT,6511,-72.935473,41.332661
68,CVS - 9171,MODESTO,CA,95350,-121.048014,37.68454
69,PHILHAVEN - MOUNT GRETNA CAMPUS,LEBANON,PA,17042,-76.462142,40.267587
70,CVS - 9983,KINGSBURG,CA,93631,-119.558135,36.519598
71,PROMISECARE PHARMACY,ANTIOCH,TN,37013,-86.689228,36.071225
72,ELFERS-LYON PHARMACY,PROSSER,WA,99350,-119.762948,46.207323
73,CVS - 114,WALTHAM,MA,2453,-71.243316,42.375887
74,OWENS HEALTH MART PHARMACY,BLYTHEVILLE,AR,72315,-89.910346,35.931613
75,WALGREENS - 7226,VANCOUVER,WA,98664,-122.572493,45.621538
76,KROGER,CHILLICOTHE,OH,45601,-82.974293,39.354351
77,CVS - 7538,HONEA PATH,SC,29654,-82.385681,34.444728
78,WAL-MART SUPERCENTER - 2613,BUCYRUS,OH,44820,-82.946365,40.810087
79,WAL-MART SUPERCENTER - 1676,TELL CITY,IN,47586,-86.752691,37.928113
80,CVS - 1627,CARLISLE,PA,17013,-77.172248,40.200632
81,CVS - 7341,SAN ANTONIO,TX,78251,-98.666151,29.483786
82,DUANE READE,HACKENSACK,NJ,7601,-74.058603,40.884117
83,WALGREENS - 3627,ALTON,IL,62002,-90.149993,38.902897
84,CVS - 5449,PLAINFIELD,IL,60585,-88.204884,41.666948
85,SUPER STOP AND SHOP - 0014,PEMBROKE,MA,2359,-70.770541,42.106147
86,WALLY'S PHARMACY,MOUNT AIRY,NC,27030,-80.610506,36.487064
87,COSTCO,DANVERS,MA,1923,-70.97712,42.557074
88,HY-VEE,STORM LAKE,IA,50588,-95.203246,42.653309
89,LEWIS RX,SIOUX FALLS,SD,57108,-96.726294,43.488905
90,WALGREENS - 4962,BRANDON,FL,33511,-82.285007,27.938151
91,HODGES AND SARGENT PHARMACY,LAMPASAS,TX,76550,-98.183331,31.065956
92,MERCY HEALTH PARTNERS WOLF LAKE PHARMACY,MUSKEGON,MI,49442,-86.110045,43.233174
93,DEAL DRUGS,NASHVILLE,TN,37211,-86.72247,36.076142
94,WALGREENS - 1081,HEMET,CA,92545,-117.007319,33.728821
95,VINTAGE PHARMACY AND SPECIALTY COMPOUNDING,THE VILLAGES,FL,32159,-81.938098,28.916439
96,SAFEWAY,VANCOUVER,WA,98662,-122.553627,45.678761
97,RITE AID - 11370,CREEDMOOR,NC,27522,-78.722459,36.144309
98,CVS - 8076,ROCHESTER HILLS,MI,48309,-83.194778,42.681291
99,FRED'S - 2355,MONROE,LA,71201,-92.115336,32.525044
100,WALGREENS - 7931,PALM HARBOR,FL,34684,-82.738832,28.095294
101,RITE AID - 843,SOMERDALE,NJ,8083,-75.032756,39.84971
102,QUICK DRUGS,STATEN ISLAND,NY,10301,-74.078459,40.638125
103,KMART,OAK LAWN,IL,60453,-87.724003,41.719145
104,WALGREENS - 5897,POWDER SPRINGS,GA,30127,-84.676398,33.863926
105,WILKINSON PHARMACY,CARTHAGE,MO,64836,-94.319233,37.16264
106,RITE AID - 11543,HICKORY,NC,28602,-81.358142,35.691865
107,WALGREENS - 9181,RICHMOND,VA,23233,-77.621725,37.620718
108,RITE AID - 3788,SILVER SPRING,MD,20906,-77.077647,39.081966
109,WOODRUFFS DRUGS,BRIDGETON,NJ,8302,-75.234,39.42989
110,CVS - 691,NEWINGTON,CT,6111,-72.72323,41.695679
111,WATTSVILLE DRUGS,LAURENS,SC,29360,-81.999659,34.519043
112,MCKENZIE MANSFIELD PHARMACY SERVICES,STONE MOUNTAIN,GA,30083,-84.197078,33.78565
113,WALGREENS - 6331,SPRINGFIELD,PA,19064,-75.311641,39.925213
114,PURDY COSTLESS PHARMACY,GIG HARBOR,WA,98329,-122.659608,47.387516
115,RITE AID - 10216,TAUNTON,MA,2780,-71.067225,41.906319
116,WAL-MART SUPERCENTER - 5123,COLORADO SPRINGS,CO,80920,-104.725345,38.942711
117,SETON HEALTH MART PHARMACY,JACKSONVILLE,FL,32204,-81.689535,30.308176
118,WALGREENS - 10197,MERIDIAN,ID,83642,-116.432874,43.619833
119,FORT RUCKER - UNITED STATES ARMY AEROMEDICAL CENTER-DOD,FORT RUCKER,AL,36362,-85.727904,31.326034
120,PRICE CHOPPER - 437,HARRISONVILLE,MO,64701,-94.360157,38.652703
121,"S R AHMAD, INC",WATERLOO,NY,13165,-76.863558,42.904927
122,RITE AID - 10705,WOODSTOCK,NY,12498,-74.113152,42.039059
123,CHARLIES PHARMACY,PINEVILLE,WV,24874,-81.539673,37.583004
124,PHILLIPS PHARMACY INC,SAINT MARYS,WV,26170,-81.206715,39.390583
125,GIANT EAGLE,BUTLER,PA,16001,-79.904732,40.899626
126,RITE AID - 5644,SAN DIEGO,CA,92103,-117.159997,32.746282
127,WALGREENS - 6478,MERRIAM,KS,66202,-94.687508,39.02183
128,COLUMBIA PHARMACY,COLUMBIA,NC,27925,-76.253174,35.917779
129,HOMETOWN PHARMACY,HOT SPRINGS,AR,71913,-93.103121,34.493481
130,CVS - 8967,OTTSVILLE,PA,18942,-75.175096,40.492169
131,MODERNHEALTH PHARMACY,MONROVIA,CA,91016,-117.999167,34.139846
132,WEIS MARKETS,NEWTON,NJ,7860,-74.746131,41.063539
133,COSTCO,MEMPHIS,TN,38125,-89.797663,35.045733
134,ABSORBENT SPECIALTY PRODUCTS,PAWTUCKET,RI,2861,-71.365447,41.884573
135,CVS - 5750,WINCHESTER,VA,22603,-78.175012,39.207669
136,ALEXANDER'S DRUG STORE,FENNVILLE,MI,49408,-86.103315,42.594454
137,CARLISLE DRUG HEALTH MART PHARMACY,ALEXANDER CITY,AL,35010,-85.953547,32.94471
138,BEST VALUE DRUG AND COMPOUNDING CENTER,FARMVILLE,NC,27828,-77.584901,35.597909
139,PUBLIX - 00129,BRANDON,FL,33510,-82.27923,27.958655
140,WALGREENS - 10502,SOUTH SIOUX CITY,NE,68776,-96.425957,42.469187
141,WILLIAMS SNYDER DRUG,WEBSTER CITY,IA,50595,-93.819895,42.469653
142,HEALTH PLUS PHARMACY,MIRAMAR,FL,33025,-80.261958,25.980196
143,WALGREENS - 9773,ALBUQUERQUE,NM,87123,-106.533186,35.071455
144,LIFECHEK MONTGOMERY PARTNERS LTD,DEL RIO,TX,78840,-100.893683,29.374588
145,BAYA PHARMACY WEST,LAKE CITY,FL,32055,-82.657362,30.184353
146,MARTIN COLLEY DRUGS,ENTERPRISE,AL,36330,-85.835696,31.326166
147,CVS - 605,LEESBURG,FL,34748,-81.888348,28.828199
148,WAL-MART SUPERCENTER - 2100,CHEBOYGAN,MI,49721,-84.482383,45.626087
149,CVS - 7997,TIFFIN,OH,44883,-83.206772,41.110701
150,LONGS DRUGS - 9663,KAHULUI,HI,96732,-156.465177,20.891016
151,RITE AID - 3310,DERRY,NH,3038,-71.31403,42.874838
152,WAL-MART - 3322,PEWAUKEE,WI,53072,-88.228198,43.087808
153,MOUNT CARMEL PHARMACY,BRONX,NY,10458,-73.884298,40.854273
154,SHAW'S OSCO PHARMACY - 7579,HYDE PARK,MA,2136,-71.126116,42.251858
155,"WOOLMARKET PHARMACY, INCORPORATED",BILOXI,MS,39532,-88.970219,30.473272
156,SMITH'S MARKETPLACE,LOGAN,UT,84321,-111.832761,41.745633
157,COSTCO,HOUSTON,TX,77027,-95.439336,29.734838
158,COSTCO,BILLINGS,MT,59102,-108.573262,45.753042
159,CVS - 4209,AUGUSTA,GA,30909,-82.065957,33.469865
160,CVS - 3095,MONTGOMERY,AL,36116,-86.196394,32.340163
